Server provider,Specialization,code,Latitude,Longitude,the address,phone,Governorate,area,provider
El Ezaby Pharmacy,pharmacies,PH76,30.06852597,31.27971483,"El Waili - 99 El Abbasia Street, next to El Waili Police Station",26858425,Cairo,Al-Waili,Suez Canal Insurance
El-Ezaby Pharmacies,pharmacies,PH11,30.06673919,31.33191226,"Nasr City - El Batrawy Street, Genena Mall",22600486,Cairo,Nasr City,Misr Insurance
El-Ezaby Pharmacies,pharmacies,PH12,30.07513204,31.33964372,"Nasr City - 8 Saudi Company Buildings, Nozha Street",24196733,Cairo,Nasr City,AXA Egypt
El Ezaby Pharmacy,pharmacies,PH04,30.06826692,31.35681793,"Nasr City - 94 Hassan El Maamoun Street, in front of Al Ahly Club",22875903,Cairo,Nasr City,MetLife Egypt
El-Ezaby Pharmacies,pharmacies,PH44,30.05572864,31.34404854,Nasr City - 42 Mustafa El Nahas Street,24044335,Cairo,Nasr City,Misr Life Insurance
El-Ezaby Pharmacies,pharmacies,PH17,30.06270579,31.49054671,"Al Rehab City - Commercial Market, Shop No. 52, 51, Home Services Area",26924660,Cairo,Al Rehab,Egypt Healthcare
El-Ezaby Pharmacies,pharmacies,PH32,30.003518,31.42119913,"New Cairo – Fifth Settlement, Shop 9, Ground Floor, Silver Stars Mall",26161521,Cairo,Fifth Settlement,Suez Canal Insurance
El Ezaby Pharmacy,pharmacies,PH76,30.08401816,31.32828609,"1 Ahmed Tayseer Street, Girls' College - Nasr City",24180838,Cairo,New Cairo,Misr Insurance
El Ezaby Pharmacy,pharmacies,PH11,30.08755702,31.28384426,"Qubba Gardens - Saray Mall, Wali Al-Ahd Street",26748892,Cairo,Qubba Gardens,AXA Egypt
El Ezaby Pharmacy,pharmacies,PH12,30.09481671,31.31168536,Roxy - 9 El Qubba Street,22569128,Cairo,New Cairo,MetLife Egypt
El Ezaby Pharmacy,pharmacies,PH04,30.10802026,31.37275926,Sheraton Residences - 69 Nasr Street,22665659,Cairo,Sheraton,Misr Life Insurance
El Ezaby Pharmacy,pharmacies,PH44,30.07564173,31.34306184,"Sun City Mall - Shop No. 8B, Floor B - Heliopolis",22699014,Cairo,New Cairo,Egypt Healthcare
El Ezaby Pharmacy,pharmacies,PH17,30.12312672,31.36779828,New Nozha - 36 Mohamed Kamel Hussein Street,26218731,Cairo,picnic,Suez Canal Insurance
El-Ezaby Pharmacies,pharmacies,PH32,30.11269115,31.34731227,206 Al Hijaz Street,26218686,Cairo,New Cairo,Misr Insurance
El-Ezaby Pharmacies,pharmacies,PH76,30.0935835,31.32263292,Heliopolis - 19 Ibrahim Street - Korba,24534426,Cairo,New Cairo,AXA Egypt
El-Ezaby Pharmacies,pharmacies,PH11,30.02955917,31.23320777,5 Al Qasr Al Aini Street,27952311,Cairo,downtown,MetLife Egypt
El-Ezaby Pharmacies,pharmacies,PH12,30.06515961,31.24716476,Ramses inside the railway station,25756282,Cairo,downtown,Misr Life Insurance
El-Ezaby Pharmacies,pharmacies,PH04,29.96028873,31.25409954,Maadi - 23 Freedom Square,27507290,Cairo,Maadi,Egypt Healthcare
El-Ezaby Pharmacies,pharmacies,PH44,30.10163937,31.34298434,"132 Nozha Street, Triumph, Heliopolis",27759097/95,Cairo,picnic,Suez Canal Insurance
El-Ezaby Pharmacies,pharmacies,PH17,30.06517807,31.3495726,"32 Ahmed Fakhry Street, Nasr City",24547055/6508,Cairo,Nasr City,Misr Insurance
El-Ezaby Pharmacies,pharmacies,PH32,30.02801245,31.4071562,"Unit 2-078 Cairo Festival City Mall, Fifth Settlement",26168165/166,Cairo,Fifth Settlement,AXA Egypt
El-Ezaby Pharmacies,pharmacies,PH76,30.06297588,31.48206891,"Shop No. 4, Ground Floor, Mall 2, Al Rehab City",26931096/97,Cairo,Al Rehab,MetLife Egypt
El-Ezaby Pharmacies,pharmacies,PH11,30.18673036,31.5914172,"Shop A217, Ground Floor, Sky Plaza Mall, Al Shorouk",1155206017,Cairo,sunrise,Misr Life Insurance
El-Ezaby Pharmacies,pharmacies,PH12,30.13107291,31.3347132,"241 Gesr El Suez Street, Cairo",22402692/95,Cairo,Suez Bridge,Egypt Healthcare
El-Ezaby Pharmacies,pharmacies,PH04,30.05659259,31.24074334,"6A King Al Afdal Street, Zamalek, Qasr El Nil",27350168,Cairo,Zamalek,Suez Canal Insurance
El-Ezaby Pharmacies,pharmacies,PH44,30.24215079,31.72274038,"Kilometer 52, Cairo-Ismailia Desert Road, next to 10th of Ramadan Hypermarket",015/410930,Cairo,10th of Ramadan,Misr Insurance
El-Ezaby Pharmacies,pharmacies,PH17,29.84783188,31.33175015,Helwan - 38 Mohamed Sayed Ahmed Street,25563805,Cairo,Helwan,AXA Egypt
Saif Pharmacy,pharmacies,PH32,30.0397069,31.23323149,76 Al Qasr Al Aini Street,27943678,Cairo,downtown,MetLife Egypt
Saif Pharmacy,pharmacies,PH76,30.01588057,31.22329524,34 A Manial El Rawda,23624505,Cairo,Manial,Misr Life Insurance
Seif Pharmacies,pharmacies,PH11,29.96050254,31.2593242,"S. Hendam Maadi, St. 9, Station Square - Maadi",23593846,Cairo,Maadi,Egypt Healthcare
Seif Pharmacies,pharmacies,PH12,30.08611573,31.32746049,"Dr. Faten Abdel Rahman, 73 Al-Mirghani Street, Heliopolis, Cairo",24143010,Cairo,New Cairo,Suez Canal Insurance
Seif Pharmacies,pharmacies,PH04,30.39639426,30.37534481,"Omar Oasis, Cairo-Alexandria Desert Road, Km 111",122218731,Cairo,Egypt-Alexandria Road,Misr Insurance
Seif Pharmacies,pharmacies,PH44,30.11542026,31.34521032,Dr. Basant City Stars - Omar Ibn Al-Khattab Street - Nasr City,24802148,Cairo,Nasr City,AXA Egypt
Seif Pharmacies,pharmacies,PH17,30.0940354,31.22436071,76 Qasr El Aini Street,25249068/78,Cairo,Badr,MetLife Egypt
Seif Pharmacies,pharmacies,PH32,29.96493664,31.27476416,"Tigris 7 Police Buildings, Street 233",25168674/576/679,Cairo,Tigris,Misr Life Insurance
Seif Pharmacies,pharmacies,PH76,29.96117582,31.28963815,"Al-Murshidi Mall, Rehana, Zahraa Al-Maadi",25178212/3/4,Cairo,Maadi,Egypt Healthcare
Seif Pharmacies,pharmacies,PH11,29.99046494,31.31390141,"Al-Miraj: 47 Main Center Street, Al-Miraj Al-Alawi",24474272/3/4/5,Cairo,Ascension,Suez Canal Insurance
Saif Pharmacy,pharmacies,PH12,29.85332516,31.32533621,"Helwan, 55 Rayel Street, intersection of Azzam Mosque Street, next to Carrefour",25551128/38/62,Cairo,Helwan,Misr Insurance
Seif Pharmacies,pharmacies,PH04,30.04450618,31.24250895,"Strand 183 Tahrir Square, Strand Building",27929251,Cairo,downtown,AXA Egypt
Seif Pharmacies,pharmacies,PH44,30.03411569,31.24724332,Sayyida Zeinab 4 Qadri Street,23930283/274/236,Cairo,downtown,MetLife Egypt
Seif Pharmacies,pharmacies,PH17,30.03778289,31.25454543,"Salah El Din 44, Al Qalaa Al Helmiya Al Jadida",23938798/6,Cairo,Helmiya El-Zaytoun,Misr Life Insurance
Saif Pharmacy,pharmacies,PH32,30.08994041,31.32776089,Al-Mirghani 73 Al-Mirghani Street,24143010,Cairo,New Cairo,Egypt Healthcare
Saif Pharmacy,pharmacies,PH76,30.12023551,31.34630032,Othman 120 Sh Othman Ibn Affan,27742834/52/53/54,Cairo,New Cairo,Suez Canal Insurance
Saif Pharmacy,pharmacies,PH11,30.12617464,31.33737393,"Al Shams Club, in front of Gate 2",21805035/402,Cairo,New Cairo,Misr Insurance
Saif Pharmacy,pharmacies,PH12,30.04953582,31.33987084,Wonderland 50 Abu Al Atahiya St,22730415/6,Cairo,Nasr City,AXA Egypt
Saif Pharmacy,pharmacies,PH04,30.07019611,31.34429553,"Mustafa Al-Nahhas, 46 Ali Amin Street",23824159/4254,Cairo,Nasr City,MetLife Egypt
Saif Pharmacy,pharmacies,PH44,30.0641365,31.3361306,"Al-Batrawi, 42 Al-Batrawi Street, next to Genena Mall",24045960/52,Cairo,Nasr City,Misr Life Insurance
Saif Pharmacy,pharmacies,PH17,30.015846,31.28328914,"Al-Muqattam, Street 9, No. 3, Plot 527",26677968/42,Cairo,Al-Muqattam,Egypt Healthcare
Saif Pharmacy,pharmacies,PH32,30.03010349,31.48687307,Concorde Mall,25364042/1,Cairo,,Suez Canal Insurance
Saif Pharmacy,pharmacies,PH76,30.07557016,31.45460073,"First Settlement, Commercial Market, Youth Housing",22477810/1,Cairo,First gathering,Misr Insurance
Saif Pharmacy,pharmacies,PH11,30.04577138,31.47613566,"Silver Star, Mohamed Naguib Axis, Al Rehab Road",01200111183/4,Cairo,Al Rehab,AXA Egypt
Seif Pharmacies,pharmacies,PH12,30.06466242,31.21643411,"Zamalek, 3 Ibn Al-Nabih Street, behind Umm Kulthum Tower",27364819/20,Cairo,Zamalek,MetLife Egypt
Seif Pharmacies,pharmacies,PH04,30.13118463,31.60629644,Al Shorouk City Plaza Mall,29228603,Cairo,sunrise,Misr Life Insurance
Seif Pharmacies,pharmacies,PH44,30.06754353,31.24502495,"Dr. Dina, 41 Shubra Street",25778800,Cairo,Shubra,Egypt Healthcare
Seif Pharmacies,pharmacies,PH17,30.18376193,31.47586658,Obour City Golf City Mall,44828320,Cairo,Crossing,Suez Canal Insurance
Seif Pharmacies,pharmacies,PH32,30.27857936,31.48085738,Youth 63 meters Future Square,3130361/2/4/5,Cairo,the future,Misr Insurance
Seif Pharmacies,pharmacies,PH76,30.39537631,30.37539845,Master K106 Cairo-Alexandria Desert Road Master Rest Area,3551202,Cairo,Egypt-Alexandria Road,AXA Egypt
Misr Pharmacies,pharmacies,PH11,30.0990599,31.33808176,58 Abu Bakr Al-Siddiq Street - Safir Square,26376035,Cairo,New Cairo,MetLife Egypt
Misr Pharmacies,pharmacies,PH12,30.05382075,31.2374754,"176 Al Tahrir Street, Bab El Louq, Downtown",23932567 23953869,Cairo,downtown,Misr Life Insurance
Misr Pharmacies,pharmacies,PH04,30.09512073,31.24497077,"249 Shubra Street, in front of Omar Ibn Al-Khattab Mosque",24306833/32,Cairo,Shubra,Egypt Healthcare
Misr Pharmacies,pharmacies,PH44,30.05282406,31.24130554,"44 Talaat Harb Street, Downtown",25750678,Cairo,downtown,Suez Canal Insurance
Misr Pharmacies,pharmacies,PH17,30.07236464,31.33777178,"14 Rabaa Investment Buildings, First Nozha Street, Clock Square",22914804/808,Cairo,Nasr City,Misr Insurance
Misr Pharmacies,pharmacies,PH32,30.07130663,31.51773677,"R86 Al-Mirghani Street, Heliopolis",22917053/052,Cairo,New Cairo,AXA Egypt
Misr Pharmacies,pharmacies,PH76,30.11157527,31.37382066,"12 Omar Ibn Al-Khattab Street, Sheraton Heliopolis, Ministers Square",222691957/956,Cairo,New Cairo,MetLife Egypt
Misr Pharmacies,pharmacies,PH11,30.00378137,31.45434426,"Life Mall 2, Property 79, Fifth Settlement Service Center",26175707/04,Cairo,Fifth Settlement,Misr Life Insurance
Misr Pharmacies,pharmacies,PH12,30.00489286,31.42135067,"Cordoba Mall, Al-Husseini Local Markets, Fifth Settlement",27615036/333,Cairo,Fifth Settlement,Egypt Healthcare
Misr Pharmacies,pharmacies,PH04,30.09935347,31.24557158,"Imam, 249 Shubra Street, Omar Ibn Al-Khattab Mosque",1019925355,Cairo,#VALUE!,Suez Canal Insurance
Misr Pharmacies,pharmacies,PH44,29.96117656,31.2902303,"Entrance to Zahraa El Maadi, Rehana Residence Building, Maadi",25202651/54,Cairo,Maadi,Misr Insurance
Misr Pharmacies,pharmacies,PH17,29.95803988,31.26733144,"20 St. 87, in front of Lycée El Horreya, Maadi",23782523/2710,Cairo,Maadi,AXA Egypt
Misr Pharmacies,pharmacies,PH32,29.8417908,31.37033829,"Third Neighborhood, Commercial Center, Business District, next to Al-Firdous Mosque",25520492/474,Cairo,#VALUE!,MetLife Egypt
Misr Pharmacies,pharmacies,PH76,30.05804712,31.22126392,"11B Hassan Sabry Street, Zamalek",27365405 27384089,Cairo,Zamalek,Misr Life Insurance
Taghreed Pharmacy,pharmacies,PH11,30.04299712,31.24053101,10 Mohamed Mahmoud Street – Bab El Louq,27944185,Cairo,downtown,Egypt Healthcare
Sinkler Pharmacy,pharmacies,PH12,30.05466281,31.24693209,"55 Al Gomhouria Street – Downtown, in front of the new Central Bank",25906650,Cairo,downtown,Suez Canal Insurance
Michelle Barsoum Pharmacy,pharmacies,PH04,30.05495301,31.34628827,Nasr City - 52 Al Nahas intersection with Makram Ebeid,22720004,Cairo,Nasr City,Misr Insurance
Michelle Barsoum Pharmacy,pharmacies,PH44,30.10259158,31.34280461,"65 El-Nozha, Al Golf, Nasr City",27573757,Cairo,Third Gathering,AXA Egypt
Bushra Pharmacy,pharmacies,PH17,30.10453757,31.30648225,"8 Ahmed Samir El Sawy Street, next to El Tahera Hospital",26713051,Cairo,New Cairo,MetLife Egypt
Amani Nabil Pharmacy,pharmacies,PH32,30.12389764,31.3697388,48 Mohamed Kamel Hussein Street – New Nozha,26208885,Cairo,picnic,Misr Life Insurance
"S. Sherine, Dr. Khaled Mohi El-Din",pharmacies,PH76,30.05640983,31.34699434,"32 Atiya Al-Sawalhi Street, in front of Al-Siraj Mall – Nasr City",22874993,Cairo,Nasr City,Egypt Healthcare
Egyptian Company for Pharmacies (Care),pharmacies,PH11,30.01838197,31.225321,"10 Samir Sayed Street, Pasha Square – Manial",26901592,Cairo,Manial,Suez Canal Insurance
Egyptian Company for Pharmacies (Care),pharmacies,PH12,30.05999268,31.37693247,Makram Ebeid intersection with Mustafa El Nahhas - Nasr City,22711138,Cairo,Nasr City,Misr Insurance
Egyptian Company for Pharmacies (Care),pharmacies,PH04,30.02117215,31.21906085,"9 Al-Miqyas Street, Al-Rawda",22587722,Cairo,New Cairo,AXA Egypt
Egyptian Company for Pharmacies (Care),pharmacies,PH44,29.95864726,31.25139355,56 Egypt Helwan Agricultural Road - Maadi,27510490,Cairo,Maadi,MetLife Egypt
Care Pharmacies (Dr. Raafat Ahmed Pharmacy) (19757),pharmacies,PH17,30.10909155,31.32244993,28 Beirut Street - Heliopolis - Cairo,011-16881449,Cairo,New Cairo,Misr Life Insurance
Care Pharmacies (Dr. Najad Shaarawy Pharmacy),pharmacies,PH32,30.09612232,31.34208706,90 Abu Bakr Al-Siddiq Street - Al-Galaa Club - Heliopolis - Cairo,011-16882117,Cairo,New Cairo,Egypt Healthcare
Care Pharmacies (Dr. Karim Wathiq Pharmacy),pharmacies,PH76,30.11697441,31.34186815,17 Farid Smeika Street - Nozha - Heliopolis - Cairo,011-55335090,Cairo,New Cairo,Suez Canal Insurance
Care Pharmacies (Dr. Emad El-Din's New Pharmacy),pharmacies,PH11,30.1140607,31.31619075,"21 Ibn Al-Hakam Street, Helmiya El-Zaytoun, next to Dr. Fish Restaurant and opposite the Electricity Company - Helmiya El-Zaytoun - Cairo",011-55458282,Cairo,Helmiya El-Zaytoun,Misr Insurance
Care Pharmacies (Dr. Emad El-Din Pharmacy),pharmacies,PH12,30.11435988,31.31524535,80 Selim El Awal Street - Helmiet El Zeitoun - Cairo,011-01438922,Cairo,Helmiya El-Zaytoun,AXA Egypt
Care Pharmacies (Ammar Bin Yasser Pharmacy),pharmacies,PH04,30.11266035,31.35037028,10 Ammar Ibn Yasser Street - Heliopolis - Cairo,011-43777448,Cairo,Helmiya El-Zaytoun,MetLife Egypt
Care Pharmacies (Tharwat Pharmacy),pharmacies,PH44,30.09116767,31.33915339,121 Al-Mirghani Street - Heliopolis - Cairo,011-19225667,Cairo,New Cairo,Misr Life Insurance
Care Pharmacies (Dr. Wafia Abdel Aziz Pharmacy),pharmacies,PH17,30.11530025,31.34473239,Shop No. 2 - Building 54 Farid Smeika Street - Heliopolis - Cairo,011-15754404,Cairo,New Cairo,Egypt Healthcare
Care Pharmacies (Havana Pharmacy),pharmacies,PH32,30.11820533,31.34038339,Alf Maskan Square - Farid Smeika Street - Heliopolis - Cairo,011-47388994,Cairo,New Cairo,Suez Canal Insurance
Care Pharmacies (Amon Pharmacy),pharmacies,PH76,30.11451484,31.33355471,58 Al Hijaz Street - Heliopolis - Cairo,011-00721255,Cairo,New Cairo,Misr Insurance
Care Pharmacies (Osama Hassan Pharmacy),pharmacies,PH11,30.11758241,31.35139175,"52 Abdel Rahman El Rafei Street, parallel to Abdel Hamid Badawi Street - Heliopolis - Cairo",011-50258426,Cairo,New Cairo,AXA Egypt
Care Pharmacies (Dr. Rasha's Pharmacy),pharmacies,PH12,30.08759679,31.34633661,"115 Omar Ibn Al-Khattab Street, Tivoli, Shop No. 1 - Heliopolis - Cairo",011-50954414,Cairo,New Cairo,MetLife Egypt
Care Pharmacies (Dr. Mustafa Jamal Pharmacy),pharmacies,PH04,30.12505629,31.36538435,10 Al-Mu'arrikh Muhammad Rifaat Street - New Nozha - Cairo,011-53466977,Cairo,picnic,Misr Life Insurance
Care Pharmacies (Sabry Pharmacy),pharmacies,PH44,30.09837443411133,31.31416084898323,91 El Farik Aziz El Masry Street - formerly Gesr El Suez - Heliopolis - Cairo,011-01833496,Cairo,Suez Bridge,Egypt Healthcare
Care Pharmacies (Dr. Mohamed El-Moselhy Pharmacy),pharmacies,PH17,30.131139664209442,31.37564949040672,Badr Division - New Nozha - Heliopolis - Cairo,011-01833497,Cairo,picnic,Suez Canal Insurance
Care Pharmacies (Noura Pharmacy),pharmacies,PH32,30.10284514,31.30326756,Al-Maqrizi Street - Manshiyat Al-Bakri - Cairo,011-56984208,Cairo,New Cairo,Misr Insurance
Care Pharmacies (Dr. Rania Hassan Pharmacy),pharmacies,PH76,30.10604099,31.3667395,19 Al Safa Street - Sheraton Residences - Nozha - Cairo,011-56984177,Cairo,picnic,AXA Egypt
Care Pharmacies (Dr. Heba Magdy Pharmacy),pharmacies,PH11,30.10564718,31.36908876,"6 El Shaheed Sayed Zakaria Street, Block 1216, Sheraton Airport - Nozha - Cairo",011-03057610,Cairo,Sheraton,MetLife Egypt
Care Pharmacies (Cairo Pharmacy),pharmacies,PH12,30.0911891,31.28348503,132 A Egypt and Sudan Street - Hadayek El Qubba - Cairo,011-03057604,Cairo,Qubba Gardens,Misr Life Insurance
Care Pharmacies (Al-Samaha Pharmacy),pharmacies,PH04,30.05434476,31.34643596,"2 Samir Abdel Raouf Street, Extension of Makram Ebeid Street - in front of Tawheed & Nour - Nasr City - Cairo",011-13311977,Cairo,Nasr City,Egypt Healthcare
Care Pharmacies (Dr. Mohammed Al-Sadiq Pharmacy),pharmacies,PH44,30.03967123,31.37237828,"Building 15, Block 50th Street - Al Waha City - Nasr City - Cairo",011-01438944,Cairo,Nasr City,Suez Canal Insurance
Care Pharmacies (Dr. Mohamed Ahmed Mustafa Pharmacy),pharmacies,PH17,30.06494819,31.39192745,"Unit 4, Property 318, Al-Mithaq Street, Zahraa Madinat Nasr, Cairo",011-26740406,Cairo,Nasr City,Misr Insurance
Care Pharmacies (Dr. George Jameel Pharmacy),pharmacies,PH32,30.07131959,31.32418707,101 El Tayaran Street - Nasr City - Cairo,011-01433105,Cairo,Nasr City,AXA Egypt
Care Pharmacies (Arafat Pharmacy),pharmacies,PH76,30.06605363,31.32534816,"6 Sheikh Mohamed Shaltout Street (formerly Aviation Street), Rabaa Al-Adawiya Square - Nasr City - Cairo",011-00718086,Cairo,Nasr City,MetLife Egypt
Care Pharmacies (Rania Hassan Pharmacy),pharmacies,PH11,30.03010449,31.36539115,"Nasr City Buildings - Al Wafaa Wal Amal, next to Futures British School - 10th District",011-50258484,Cairo,Nasr City,Misr Life Insurance
Care Pharmacies (Dr. Sarah Jaber Pharmacy),pharmacies,PH12,30.05541051,31.33720754,53 Ahmed Qassem Gouda Street – Abbas El Akkad Street – Nasr City – Cairo,011-48999072,Cairo,Nasr City,Egypt Healthcare
Care Pharmacies (Muharram Pharmacy),pharmacies,PH04,30.07502113,31.33703588,"12 Mubarak Street, Asmaa Fahmy Division – Golf Land – New Nozha – Cairo",011-52608010,Cairo,New Cairo,Suez Canal Insurance
Care Pharmacies (Mohammed Al-Ajil Pharmacy),pharmacies,PH44,30.04270496,31.32903111,"Aviation Extension, Abdullah Al-Arabi Street, Nasr City, Cairo",011-29956628,Cairo,Nasr City,Misr Insurance
Care Pharmacies (Dr. Mohamed Ali Ibrahim Rizk Pharmacy),pharmacies,PH17,30.06337197,31.32604222,Plot (20) Block (43) First District - 26 El Tayaran Street - Nasr City - Cairo,011-01871136,Cairo,Nasr City,AXA Egypt
Care Pharmacies (Dr. Elsayed Nassar Pharmacy),pharmacies,PH32,30.05291824,31.35489499,"19 Ibrahim El Refaey, Plot 41, Block 55, 8th District - Nasr City - Cairo",011-19417029,Cairo,Nasr City,MetLife Egypt
Care Pharmacies (Dr. Islam Salah Pharmacy),pharmacies,PH76,30.03889808,31.37315877,"Block 11, Building 14, in front of BIM Supermarket, Al Waha District - Nasr City - Cairo",011-19418676,Cairo,Nasr City,Misr Life Insurance
Care Pharmacies (Al-Sisi International Pharmacy),pharmacies,PH11,30.05499797,31.33893161,35 Ezzat Salama Street - Abbas El Akkad - Nasr City - Cairo,011-18896234,Cairo,Nasr City,Egypt Healthcare
Care Pharmacies (Al-Aqqad Pharmacy),pharmacies,PH12,30.0616954,31.33663314,Block 64 - Plot 12 - First District - Corner of Abbas El Akkad Street - Nasr City - Cairo,011-19418851,Cairo,Nasr City,Suez Canal Insurance
Care Pharmacies (Dr. Ahmed Abu Saqira Pharmacy),pharmacies,PH04,30.04702699,31.37899879,"Plot 14, Block 15, Zone 12 - 10th District - Nasr City - Cairo",011-19418901,Cairo,Nasr City,Misr Insurance
Care Pharmacies (Dr. Mohammed Azzam Pharmacy),pharmacies,PH44,30.05354011,31.39377416,Shop No. (A) Armed Forces Housing Fund - Building No. 411 - Zahraa Nasr City - Cairo,011-01833498,Cairo,Nasr City,AXA Egypt
Care Pharmacies (Rami Saad Pharmacy),pharmacies,PH17,30.07863636,31.33927633,Al Nozha Street - next to the Administrative Control Authority - Golf Land - Nasr City - Cairo,011-01833481,Cairo,Nasr City,MetLife Egypt
Care Pharmacies (Dr. Ali Al-Salamouni Pharmacy),pharmacies,PH32,30.05454617,31.34144354,"Plot 26, Block 50, Shop No. 2 - 24 Mostafa El Nahas Street - 6th District - Nasr City - Cairo",011-01833492,Cairo,Nasr City,Misr Life Insurance
Care Pharmacies (Dr. Mohamed Hossam Salem Pharmacy),pharmacies,PH76,30.08386342,31.34873378,Dar Al-Ishara - Heliopolis - Cairo,011-01833489,Cairo,Nasr City,Egypt Healthcare
Care Pharmacies (Mahmoud Farouk Pharmacy),pharmacies,PH11,30.02567966,31.47627701,Galaxy Mall - 306 South 90th Street - Fifth Settlement - New Cairo - Cairo,011-00741815,Cairo,Fifth Settlement,Suez Canal Insurance
Care Pharmacies (Dr. Ibrahim Fouda Pharmacy),pharmacies,PH12,30.00057725,31.41393746,"Plot (2-S5) Mercato Mall, Fifth District Service Center – Shop S-G08
Fifth Settlement – ​​New Cairo – Cairo",011-50258499,Cairo,Fifth Settlement,Misr Insurance
Care Pharmacies (Dr. Abeer's Pharmacy),pharmacies,PH04,29.95873092,31.25132918,"56 Egypt Helwan Agricultural Road - Badr Tower, Maadi",011-16882241,Cairo,Maadi,AXA Egypt
Care Pharmacies (Dr. Amira Saeed Pharmacy),pharmacies,PH44,29.96450411,31.27541315,5/11 Street 216 - Degla - Maadi,011-20225558,Cairo,Maadi,MetLife Egypt
Care Pharmacies (Dr. Miriam Al-Assi Pharmacy),pharmacies,PH17,29.96929917,31.32163775,Aliko Buildings - Zahraa El Maadi,011-01438862,Cairo,Maadi,Misr Life Insurance
Care Pharmacies (Dr. Saeed Al-Atfy Pharmacy),pharmacies,PH32,29.97026578,31.27885115,"Property 5/3, Model 25, Wireless Street, Maadi",011-26741413,Cairo,Maadi,Egypt Healthcare
Care Pharmacies (Dr. Mayada Al-Salamouni Pharmacy),pharmacies,PH76,29.97780696,31.31452696,"Plot 10060 - Carrefour Street, Neighborhood 10 - Al-Miraj Al-Alawi - Maadi",011-26754404,Cairo,Maadi,Suez Canal Insurance
Care Pharmacies (Mai El Salamouni Pharmacy),pharmacies,PH11,29.95752642,31.25953095,"45 St. 9, Shop No. 3, Maadi Barracks - Maadi",011-26758878,Cairo,Maadi,Misr Insurance
Care Pharmacies (Dr. Ehab Al-Husseini Pharmacy),pharmacies,PH12,29.98550983,31.24854848,76 Fayoum Street - Corner of Makhimer Street - Dar El Salam,011-40889987,Cairo,Dar Al Salam,AXA Egypt
Care Pharmacies (Dr. Mona Ahmed Pharmacy),pharmacies,PH04,29.84780501,31.33030449,"30 Abdullah Street - Helwan, next to Etisalat",011-16886262,Cairo,Helwan,MetLife Egypt
Care Pharmacies (Dr. Walaa Abdel Aleem Pharmacy),pharmacies,PH44,29.84791323,31.34143622,"Sh. Muhammad Sayed Ahmed with Faydi Pasha, Helwan district",011-46758588,Cairo,Helwan,Misr Life Insurance
Care Pharmacies (Dr. Mohamed Salah Pharmacy),pharmacies,PH17,29.84673697,31.32497436,"172 Mohamed Abdel Moneim Street, Rayel Street, Alexandria Tower - Helwan",011-40126260,Cairo,Helwan,Egypt Healthcare
Care Pharmacies (Dr. Amr Pasha Pharmacy),pharmacies,PH32,30.01472144,31.32593934,"Street 9-8906, Upper Plateau Area, Mokattam",011-16886838,Cairo,Al-Muqattam,Suez Canal Insurance
Care Pharmacies (Dr. Khaled's Pharmacy),pharmacies,PH76,30.03728869,31.2485038,"230 Port Said Street, in front of Al-Khedive School - Sayeda Zeinab",011-16882256,Cairo,Lady Zainab,Misr Insurance
Care Pharmacies (Dr. Mohamed Kandil Pharmacy),pharmacies,PH11,30.03047108,31.23402165,5 Ali Youssef Street - Al Munira - Sayeda Zeinab - Cairo,011-00741175,Cairo,Lady Zainab,AXA Egypt
Care Pharmacies (Dr. Ahmed Al-Khatib Pharmacy),pharmacies,PH12,30.02792064,31.2324199,37A Al-Qasr Al-Aini,011-27801322,Cairo,Qasr El Aini,MetLife Egypt
Care Pharmacies (Bahgat Pharmacy),pharmacies,PH04,30.07343832,31.22196332,"6th Street, Bahgat Ali - Zamalek",011-21339997,Cairo,Zamalek,Misr Life Insurance
Care Pharmacies (Dr. Mohamed Nour El-Din Pharmacy),pharmacies,PH44,30.03443565,31.25587919,"3 Al Qalaa Street, next to Al Rifai Mosque - Al Khalifa District",011-50258639,Cairo,downtown,Egypt Healthcare
Care Pharmacies (Dr. Rifaat Farag Pharmacy),pharmacies,PH17,30.02628196,31.22834983,"9 El Manial Museum Street, Old Cairo",011-16886979,Cairo,Manial,Suez Canal Insurance
Care Pharmacies (Dr. Mohamed El Mahdy Pharmacy),pharmacies,PH32,30.01954426,31.2256286,57 El Manial Street, 011-22889100,Cairo,Manial,Misr Insurance
DR AHMED El Ezaby Pharmacy,pharmacies,PH76,29.85796055,31.33515057,Mansour Street next to Helwan Metro Station,01007455779-025599919-025564165,Cairo,Helwan,AXA Egypt
DR AHMED El Ezaby Pharmacy,pharmacies,PH11,29.84754806,31.33187354,28 Mohamed Sayed Ahmed Street,01007455722-027070720-027070605,Cairo,Helwan,MetLife Egypt
Madonna Magdy Pharmacy,pharmacies,PH12,29.98729994,31.33704749,"Maadi: Jasmine Towers, Tower 3",1002190188,Cairo,Maadi,Misr Life Insurance
Al Bustan Pharmacy,pharmacies,PH04,30.04587152,31.2380197,"16 Al Bustan Street, Abdeen",23930473,Cairo,downtown,Egypt Healthcare
Al-Ansari Pharmacy,pharmacies,PH44,30.0927988,31.25486464,"Al Teraa Al Bolakia street, Al Izab, El Sharabia, Cairo Governorate 4352333",1221455550,Cairo,sunrise,Suez Canal Insurance
